protocol,duration,src_bytes,dst_bytes,pkts,conn_rate,failed_logins
udp,0.6285454377354905,4691,3540,3,3.039867290510987,0
udp,1.4615555787112018,3551,3019,5,2.6517343435616905,0
icmp,1.3094166817672321,2821,4422,8,2.978176815477038,0
tcp,0.6797889550512983,5235,5676,8,4.359864101604687,0
udp,10.993169455008086,34469,255061,358,20.24615496615388,10
icmp,1.551305146490909,2467,3941,10,2.9496286088622288,0
icmp,1.0136184431317936,3655,5600,5,2.7747857881445612,0
udp,1.0453793153530773,4777,2121,8,2.1385846274061917,0
icmp,1.2180972799378957,3780,3443,7,2.1320419975396736,0
udp,0.020247138740489667,2805,2727,4,3.3003083519405005,0
icmp,0.9827870154895046,3503,2343,6,2.579681844374235,0
icmp,0.0,3538,3172,4,4.086701277052691,0
tcp,0.4301673592526031,5372,2881,7,1.7273015104198175,0
udp,1.0646430037626269,4093,4157,6,2.3095951357103277,0
udp,0.710012754822682,3397,5142,9,2.121572110628063,0
tcp,0.9796023254550543,1130,4943,7,3.309412768495969,0
tcp,1.7496337775519373,3099,2551,4,3.279913203809606,0
icmp,1.0910592084464936,4812,5829,8,3.1054555805067747,0
udp,15.638096723539977,324929,222496,137,32.33887561127534,8
udp,1.1725989097263836,5159,2977,9,3.119815953478647,0
icmp,0.754284277233476,5270,4532,5,3.315862183100266,0
udp,0.5376135775032334,4434,5141,8,1.9079555897880667,0
icmp,1.1935786381515028,1421,2740,4,0.5895428098551312,0
udp,1.224243302793895,3839,5342,10,3.3425540962026496,0
tcp,0.6199323633207254,2366,4047,6,1.819492367948464,0
tcp,0.5970461324304797,3718,6293,4,1.2714647127385112,0
tcp,0.9052361626253572,4726,4714,10,1.7098487722508011,0
icmp,1.1263965362841615,4732,4785,5,1.7260600394875163,0
udp,1.0234758063232874,4444,2924,9,2.9198023019862123,0
icmp,0.0,5435,5244,8,2.27533226812708,0
tcp,0.5316688061278616,4362,3238,4,3.2348376889745696,0
icmp,1.2963326676502014,3179,4405,6,3.5353832763032447,0
udp,1.0856277965517611,2096,3557,11,2.2503200749095056,0
icmp,1.022540308219816,3088,4926,4,3.842753177859445,0
tcp,1.0148463617946375,4410,3123,5,2.283315282379498,0
tcp,0.7896361570207615,3980,4352,6,2.0276761367965843,0
icmp,1.1115778605833508,4463,4059,10,2.0475205878720724,0
tcp,1.22280372899978,2326,3371,7,2.5906150255657563,0
udp,0.44952992671891834,4167,3982,7,2.051227556954996,0
tcp,1.2920492476321068,3256,3461,8,1.3411143065512041,0
icmp,0.9564642939834487,3823,3897,9,0.952866819116281,0
tcp,0.0,3325,3874,7,2.5733814140371822,0
icmp,0.422744710593725,5366,5568,1,1.0280003047372106,0
icmp,1.1641009926000292,3701,6686,6,1.9310045537647045,0
udp,0.29545220470291655,7773,4994,8,3.9185434961319086,0
udp,0.39810663958493847,2816,3593,9,2.924249986791576,0
udp,0.39364093929717886,5142,2752,6,1.5339563243344108,0
icmp,25.1887755835614,165645,380134,237,50.85793648136986,2
udp,0.7051839746207803,3744,4423,9,2.9407951737864257,0
icmp,0.0,3712,5590,7,2.1885037291698923,1
