protocol,duration,src_bytes,dst_bytes,pkts,conn_rate,failed_logins
udp,0.6886385307423328,3066,3460,7,2.055530732958685,0
udp,0.6064878752875403,4009,3196,7,2.9043322277672434,0
icmp,1.1827957277085266,4994,1841,8,2.9909734379695,0
tcp,0.9832999492856969,3323,4131,12,1.773502042386219,0
icmp,0.8095461780861369,3891,3161,7,3.541232849540623,0
icmp,0.9109745149822797,3774,2505,5,3.6388896262987602,0
tcp,0.7188216298267869,4196,3696,7,2.3085369612153164,0
tcp,0.893972986674758,4503,3838,8,3.210806598652007,0
icmp,0.2752485730087475,4202,4793,6,2.48073085654956,0
tcp,0.6463302381531651,4396,3263,9,1.8763953178621162,0
tcp,0.8244626431976237,5398,2961,9,2.893240552664094,0
tcp,0.47624964679458587,1088,3802,3,2.737072496698323,0
udp,18.580584497303498,81840,42521,287,39.43317443003302,6
tcp,1.0030628587959882,3764,1927,9,3.690048157575843,0
tcp,3.9806158249940893,104762,162049,311,28.823980165821535,14
tcp,0.08992563303819057,6120,1728,7,2.667520573176789,0
icmp,0.5932400893027936,5204,3978,14,1.951636271582354,0
icmp,0.6850301348499243,3326,3421,1,1.604126819917858,0
tcp,1.1520561190245737,2536,5070,5,2.0054094998023264,0
tcp,0.3896839843482443,2738,5872,7,1.7820093221088684,0
udp,1.3147058292563987,2879,1813,6,2.3204183812231878,0
udp,0.7145294921600428,3490,3783,4,2.364439329230997,0
udp,1.1580169935959272,3805,3459,7,2.294293848584556,0
icmp,1.2277583108581012,4472,4350,9,3.024290968700455,0
tcp,0.6066447240000895,1754,4531,10,2.338365731055959,0
icmp,15.097829520132336,64152,131349,230,16.923271942733177,11
udp,0.9766747210056499,3524,4352,8,2.023909335367528,0
udp,0.03617315076144656,4766,3576,8,1.2313181447143127,1
udp,0.9259204380254289,68806,180245,111,33.55424521039532,4
udp,0.7707828681743043,3013,3892,1,2.7915722157580793,0
udp,0.4474955176708926,5202,2438,6,2.3102231734114094,0
tcp,1.0112970757311046,2604,3038,8,2.4019975179904045,0
tcp,0.8533453945461686,5495,3684,6,3.1850126392061027,0
udp,0.3408541462846926,4235,2988,11,2.5929222689346503,0
icmp,0.9764562473576306,2974,3776,4,2.4641941841420616,0
tcp,0.0,4425,4040,6,2.3772383344236645,0
icmp,11.982297491882017,151468,196840,358,20.32496796356944,3
udp,0.8064467263226291,5881,3981,10,1.2382142186562002,0
tcp,0.445927908629617,3473,2596,6,2.8757019661927714,0
tcp,1.21699052474601,5701,3050,6,3.7268267781523035,0
udp,1.7988177188604608,2838,2949,13,2.7193633946820506,0
tcp,0.174500867783428,4400,3496,9,4.547543132495175,1
udp,0.46671642019424314,4910,4388,7,2.702666934095796,0
tcp,0.20016848021201983,4822,2740,6,3.5112440067986324,0
tcp,0.6276841550834226,3354,3476,7,2.9377453298698613,0
tcp,1.9259898663516095,4694,1904,11,2.3836269351261192,0
tcp,1.015439953080202,3393,5403,4,2.342808243155835,0
icmp,0.7166484880774388,2153,2664,11,4.161465603796723,0
icmp,1.1513974034405479,4358,3953,9,1.4846097818011414,0
icmp,1.3113042233160215,1791,3553,5,2.338253085099668,0
icmp,2.054949133089293,3918,4001,3,0.8698872465980743,0
icmp,1.5288644033866716,3065,4083,11,2.705589234144043,0
icmp,0.35872241251585407,4533,3888,11,2.284457996129684,0
udp,0.737195543434425,3781,4408,10,1.366667112361928,0
tcp,0.10051747800045774,5875,4648,4,2.4120311058775536,0
udp,0.7056127148997481,4075,5102,15,2.6953497104804294,0
tcp,0.539583692510727,4815,4247,4,2.288077181276137,0
tcp,1.3404036208811165,2850,3963,4,3.1635236225349344,0
icmp,0.5883418072313628,6915,2761,6,2.6971210490817334,0
icmp,15.387415655576383,150255,34689,120,15.164715030844095,8
tcp,0.6649122160139027,2245,2224,3,3.1296317795636988,0
tcp,0.7359274149614384,5058,4026,8,2.5909231074498296,0
icmp,3.033294447075553,58687,152932,123,33.439988574131085,10
udp,1.2824995456352428,2506,3951,7,3.5649095755009954,0
udp,0.06115380387389868,4877,2781,4,2.6940997805150526,0
tcp,0.7233702614801586,3816,3854,6,2.6939669305590503,0
tcp,0.4181706662342735,2155,4843,8,2.2901173200149323,0
